date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:31	125726/125726	---MCZ	200	added ('OK')	text/html	etag:%221199-1736602709;gz%22	https://duhocTDJ.vn/cam-nang-du-hoc/	/abc/duhocTDJ.vn/cam-nang-du-hoc/index.html	(from https://duhocTDJ.vn/)
20:38:32	114253/114253	---MCZ	200	added ('OK')	text/html	etag:%221200-1736602710;gz%22	https://duhocTDJ.vn/su-kien/	/abc/duhocTDJ.vn/su-kien/index.html	(from https://duhocTDJ.vn/)
20:38:32	137830/137830	---MCZ	200	added ('OK')	text/html	etag:%221197-1736602709;gz%22	https://duhocTDJ.vn/du-hoc-dai-loan/du-hoc-he-cao-hoc/	/abc/duhocTDJ.vn/du-hoc-dai-loan/du-hoc-he-cao-hoc/index.html	(from https://duhocTDJ.vn/)
20:38:32	56392/56392	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2017%20Jul%202020%2006:11:04%20GMT	https://duhocTDJ.vn/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	/abc/duhocTDJ.vn/wp-includes/fonts/dashicons7d4b.ttf	(from https://duhocTDJ.vn/wp-content/litespeed/css/be71678994b50ceef3ccc2f72292e037.css?ver=3cc70)
20:38:33	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Mar%202024%2016:10:51%20GMT	https://duhocTDJ.vn/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/admin/libs/font-awesome/fontawesome4/fonts/fontawesome-webfont.eot?v=4.7.0	/abc/duhocTDJ.vn/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/admin/libs/font-awesome/fontawesome4/fonts/fontawesome-webfont3e6e.eot	(from https://duhocTDJ.vn/wp-content/litespeed/css/be71678994b50ceef3ccc2f72292e037.css?ver=3cc70)
20:38:33	124699/124699	---MCZ	200	added ('OK')	text/html	etag:%221201-1736602711;gz%22	https://duhocTDJ.vn/kham-pha-chi-phi-di-du-hoc-dai-loan/	/abc/duhocTDJ.vn/kham-pha-chi-phi-di-du-hoc-dai-loan/index.html	(from https://duhocTDJ.vn/)
20:38:33	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Mar%202024%2016:10:51%20GMT	https://duhocTDJ.vn/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/admin/libs/font-awesome/fontawesome4/fonts/fontawesome-webfont.eot?	/abc/duhocTDJ.vn/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/admin/libs/font-awesome/fontawesome4/fonts/fontawesome-webfontd41d.eot	(from https://duhocTDJ.vn/wp-content/litespeed/css/be71678994b50ceef3ccc2f72292e037.css?ver=3cc70)
20:38:34	87659/87659	---MCZ	200	added ('OK')	text/html	etag:%221203-1736602712;gz%22	https://duhocTDJ.vn/lien-he/	/abc/duhocTDJ.vn/lien-he/index.html	(from https://duhocTDJ.vn/)
20:38:34	127394/127394	---MCZ	200	added ('OK')	text/html	etag:%221202-1736602712;gz%22	https://duhocTDJ.vn/lieu-co-nen-di-du-hoc-dai-loan-khong/	/abc/duhocTDJ.vn/lieu-co-nen-di-du-hoc-dai-loan-khong/index.html	(from https://duhocTDJ.vn/)
20:38:34	77160/77160	---M--	200	added ('OK')	font/woff2	date:Tue,%2026%20Mar%202024%2016:10:51%20GMT	https://duhocTDJ.vn/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/admin/libs/font-awesome/fontawesome4/fonts/fontawesome-webfont.woff2?v=4.7.0	/abc/duhocTDJ.vn/wp-content/plugins/ultimate-addons-for-contact-form-7/assets/admin/libs/font-awesome/fontawesome4/fonts/fontawesome-webfont3e6e.woff2	(from https://duhocTDJ.vn/wp-content/litespeed/css/be71678994b50ceef3ccc2f72292e037.css?ver=3cc70)
